2025-08-25 09:44:11 | RSUFusion.RouteManager | INFO     | route_manager.py:73 | ✅ Loaded reference route 'vehicle.ford.ambulance.json' with 52 waypoints
2025-08-25 09:44:11 | RSUFusion.RouteManager | INFO     | route_manager.py:80 |    Route: (-51.8, -63.0) → (-47.6, 53.3)
2025-08-25 09:44:11 | RSUFusion.RouteManager | INFO     | route_manager.py:81 |    Total distance: 116.5m
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:108 | Spawning ambulance at reference start: Location(x=-51.796059, y=-63.008793, z=-0.004644)
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | WARNING  | vehicle_spawner.py:134 | Reference spawn attempt 1 failed: Spawn failed because of collision at spawn position
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:127 | ✅ Reference ambulance spawned at EXACT location:
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:128 |    Location: (-51.8, -63.0, 0.1)
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:129 |    Blueprint: vehicle.ford.ambulance
2025-08-25 09:44:11 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:130 |    Route has 52 waypoints
2025-08-25 09:44:12 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:12 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:13 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:13 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:13 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:14 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:14 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:14 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:15 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:15 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:15 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:280 | ✅ Ambulance autopilot enabled with emergency behavior
2025-08-25 09:44:15 | RSUFusion.VehicleSpawner | INFO     | vehicle_spawner.py:255 | ✅ Spawned 10 traffic vehicles
2025-08-25 09:44:15 | RSUFusion.CameraManager | INFO     | camera_manager.py:154 | ✅ Camera listening started
2025-08-25 09:44:15 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 0.0 FPS
2025-08-25 09:44:16 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 2.0 FPS
2025-08-25 09:44:17 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 46.0 FPS
2025-08-25 09:44:17 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.5 FPS
2025-08-25 09:44:18 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 55.9 FPS
2025-08-25 09:44:18 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 50.9 FPS
2025-08-25 09:44:19 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:323 | Updated image (consumed 1 frames)
2025-08-25 09:44:19 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.8 FPS
2025-08-25 09:44:19 | RSUFusion.CameraProcess | DEBUG    | run_phase1.py:146 | Ambulance speed: 0.0 km/h
2025-08-25 09:44:19 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.1 FPS
2025-08-25 09:44:20 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 56.0 FPS
2025-08-25 09:44:21 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.8 FPS
2025-08-25 09:44:21 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:323 | Updated image (consumed 1 frames)
2025-08-25 09:44:21 | RSUFusion.YOLODetector | DEBUG    | yolo_detector.py:155 | Detection performance: 10.2 FPS, 0 objects detected
2025-08-25 09:44:21 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:208 | SORT performance: 0.0ms/frame, 0 confirmed tracks
2025-08-25 09:44:21 | RSUFusion.DetectionProcess | DEBUG    | run_phase1.py:198 | Detection: 10.2 FPS, 0 detections processed
2025-08-25 09:44:21 | RSUFusion.TrackingProcess | DEBUG    | run_phase1.py:268 | Tracking: 0 confirmed tracks
2025-08-25 09:44:21 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.8 FPS
2025-08-25 09:44:22 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.3 FPS
2025-08-25 09:44:22 | RSUFusion.KalmanFilter4D | DEBUG    | kalman_filter.py:88 | Kalman filter initialized at (717.5, 99.4)
